created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Thu Nov 10 03:15:57 +0000 2022,1590543756453105666,"Beliau Pak Subari, asal dari Desa Kalibareng, Patean, Kendal. Sengaja saya undang pada Upacara Hari Pahlawan 2022 di Lapangan Simpanglima ini. https://t.co/lM4pi6aztd",8,110,208,1955,in,109762193,1590543756453105666,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590543756453105666,
Thu Nov 10 01:33:07 +0000 2022,1590517880520839168,"Semua orang berhak dan bisa jadi pahlawan bagi siapa saja, termasuk bagi negara. Untuk jadi pahlawan tak perlu punya kekuatan super, tak perlu jabatan tinggi, atau kekayaan berlimpah.   Cukup dengan keluasaan hati dan kesediaan untuk berkorban. Selamat Hari Pahlawan. https://t.co/djTaJSZC6A",18,207,265,1753,in,109762193,1590517880520839168,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590517880520839168,
Wed Nov 09 11:55:16 +0000 2022,1590312059232997376,"Hari ini hasil kerja sama antara pemerintah,perguruan tinggi dan perbankan membuat UMKM kita ekspor ke Prancis. Semoga ini jd stimulan penyemangat pelaku UMKM utk selalu kreatif dan berkreasi.  Terimakasih Mas Gibran, UNS dan Bank Jateng. Ini jd percontohan UMKM di daerah lain https://t.co/V9AhRVXLY3",2,53,111,795,in,109762193,1590312059232997376,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590312059232997376,
Wed Nov 09 06:34:07 +0000 2022,1590231239570903050,"Insyaallah mulai 19 November besok, jalan tol Semarang-Demak seksi 2 ini akan uji kelayakan fungsi.   Selain mempercepat arus lalu lintas, jalan tol ini jadi harapan masyarakat sebagai solusi kemacetan antara Sayung sampai Demak kota. https://t.co/h6WPKAp7nr",15,91,209,1105,in,109762193,1590231239570903050,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590231239570903050,
Wed Nov 09 04:14:00 +0000 2022,1590195980728946690,Coba keluhannya diteruskan ke pak gub @ganjarpranowo. Mohon maaf saya belum dapat memberikan solusi karena wilayah ini di luar wewenang saya,12,96,66,544,in,1356478042797797377,1590195980728946690,gibran_tweet,https://twitter.com/gibran_tweet/status/1590195980728946690,ganjarpranowo
Wed Nov 09 01:52:53 +0000 2022,1590160466990764032,"Ketulusan adalah satu-satunya bahasa universal yang paling mudah kita tangkap namun terkadang justru susah terungkap. Dia tidak terikat pada suku, agama bahkan negara. Tapi dia diikat kuat oleh perasaan bahwa ada cinta yang hendak dihaturkan. https://t.co/ii2rxlEqZS",34,204,335,2753,in,109762193,1590160466990764032,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590160466990764032,
Tue Nov 08 12:06:50 +0000 2022,1589952582835130370,Komitmen? Ya standarnya aja begini! Cc @prabowo @ganjarpranowo https://t.co/LFoIuKqfCD,13,57,185,533,in,1068371293290946561,1589952582835130370,BosPurwa,https://twitter.com/BosPurwa/status/1589952582835130370,"prabowo, ganjarpranowo"
Tue Nov 08 11:30:26 +0000 2022,1589943422387093504,TERHARU... Namanya Adek Marthin beliau anak penyandang autisme asal Bandung yg ikut menggambar jersey official TDB.. Adekny Tanya *Mana pak @ganjarpranowo ? Ktanya mau kesni? Lha ini pak Ganjar tp msh belum paham Pas topi dilepas Adeknya lngsng peluk hangat MR Uban aka Tugiman😢 https://t.co/z7F6xVPWD1,12,22,128,479,in,1166305200082042881,1589943422387093504,_Umamlik,https://twitter.com/_Umamlik/status/1589943422387093504,ganjarpranowo
Tue Nov 08 11:29:56 +0000 2022,1589943298097303554,"Jangan sampai kemampuan dan kelebihan anak-anak kita terhambat karena tidak bisa mengakses pendidikan. Selain menerima pendaftaran lewat jalur formal, kita yang dipemerintahan mestinya juga menjemput bola kepada anak-anak kita yang berkebutuhan khusus. https://t.co/xZkFuWEz4H",3,36,146,802,in,109762193,1589943298097303554,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1589943298097303554,
Tue Nov 08 08:40:02 +0000 2022,1589900540330545152,"Nasib kita bukanlah hal yang harus ditunggu. Tetapi yang harus dicapai dengan menempuh perjuangan."" Puan Maharani.   Selamat ya Mbak Puan atas penganugerahan Doktor Honoris Causa dr Pukyong National University, Korea Selatan. Semoga jadi penambah semangat dan spirit perjuangan. https://t.co/DLN9OhoQ2i""",16,189,124,1195,in,109762193,1589900540330545152,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1589900540330545152,
Tue Nov 08 03:49:52 +0000 2022,1589827516453519360,"Ganjar Pranowo juga pernah ke Medan  Ganjar naik Becak, bukan Mobil Mewah  Ganjar dijamu makanan rakyat, bukan makanan Istana  Ganjar diundang oleh rakyat, bukan diundang para ELIT  Ganjar kampanye kesetaraan, bukan kampanye PARTAI  Bukti Ganjar adl MILIK RAKYAT, bukan MILIK ELIT https://t.co/GpqlPW5Oj8",80,970,346,1998,in,1102461866129776640,1589827516453519360,Miduk17,https://twitter.com/Miduk17/status/1589827516453519360,
